snapshot_hour_utc,game_id,name,is_game,rank,viewers_top100,channels_top100,share_top1,v_short,v_day,c_short,flags,score,components,steam_appid
2026-09-09T16,509660,Art,False,35,6710,98,0.0857,0.22314355131420976,-0.09314009893100321,-0.020202707317519466,,0.403,channel_growth_day=+0.00;channel_growth_short=-0.03;rank_climb=+0.08;viewer_growth_day=-0.09;viewer_growth_short=+0.45,
2026-09-09T16,272263131,"Animals, Aquariums, and Zoos",False,69,4989,100,0.29,0.09960884259148468,0.07900763187034317,0.0,,0.398,channel_growth_day=+0.00;channel_growth_short=+0.00;rank_climb=+0.12;viewer_growth_day=+0.08;viewer_growth_short=+0.20,
2026-09-09T16,1435206302,Slay the Spire II,True,99,2770,63,0.6267,0.5284285062109191,-0.45637325011504504,0.38193461069797024,,0.375,channel_growth_day=+0.02;channel_growth_short=+0.57;rank_climb=-0.80;steam_growth=-0.02;viewer_growth_day=-0.46;viewer_growth_short=+1.06,2868840
2026-09-09T16,21779,League of Legends,True,7,59032,98,0.1005,0.23804688051064007,-0.13610507001363767,-0.010152371464017962,,0.292,channel_growth_day=+0.01;channel_growth_short=-0.02;rank_climb=-0.04;viewer_growth_day=-0.14;viewer_growth_short=+0.48,
2026-09-09T16,509672,IRL,False,10,40358,98,0.0623,0.40607235920035806,-0.5289711096596605,-0.020202707317519466,,0.196,channel_growth_day=+0.02;channel_growth_short=-0.03;rank_climb=-0.08;viewer_growth_day=-0.53;viewer_growth_short=+0.81,
2026-09-09T16,902998079,Halloween: The Game,True,17,25742,98,0.1523,0.30843301655681993,-0.30444888617224297,-0.020202707317519466,,0.147,channel_growth_day=-0.02;channel_growth_short=-0.03;rank_climb=-0.12;viewer_growth_day=-0.30;viewer_growth_short=+0.62,3219630
2026-09-09T16,1669431183,DJs,False,49,7192,100,0.0499,0.41672121324933786,-0.3814489444647438,0.0,,0.092,channel_growth_day=+0.00;channel_growth_short=+0.00;rank_climb=-0.36;viewer_growth_day=-0.38;viewer_growth_short=+0.83,
2026-09-09T16,55453844,Street Fighter 6,True,58,6688,100,0.3373,-0.16413992358911197,0.07689525382647658,0.0,,0.02,channel_growth_day=+0.00;channel_growth_short=+0.00;rank_climb=+0.24;steam_growth=+0.03;viewer_growth_day=+0.08;viewer_growth_short=-0.33,1364780
2026-09-09T16,24241,FINAL FANTASY XIV ONLINE,True,52,5670,100,0.1164,0.563636204669836,-0.5217707972281094,0.0,,-0.052,channel_growth_day=+0.02;channel_growth_short=+0.00;rank_climb=-0.68;viewer_growth_day=-0.52;viewer_growth_short=+1.13,262341
2026-09-09T16,29452,Virtual Casino,True,36,11995,31,0.1357,-0.05364151473364019,-0.17625903169253906,0.2559333741372007,,-0.111,channel_growth_day=-0.09;channel_growth_short=+0.38;rank_climb=-0.12;viewer_growth_day=-0.18;viewer_growth_short=-0.11,
2026-09-09T16,32399,Counter-Strike,True,5,94397,98,0.2072,0.06151686482669295,-0.35013645828848444,-0.020202707317519466,,-0.33,channel_growth_day=+0.00;channel_growth_short=-0.03;rank_climb=-0.08;steam_growth=+0.01;viewer_growth_day=-0.35;viewer_growth_short=+0.12,730
2026-09-09T16,512953,ELDEN RING,True,63,4893,100,0.1778,-0.13923754220137732,-0.08573322553363752,0.02020270731751947,,-0.435,channel_growth_day=+0.01;channel_growth_short=+0.03;rank_climb=-0.04;steam_growth=-0.07;viewer_growth_day=-0.09;viewer_growth_short=-0.28,1245620
2026-09-09T16,27284,Retro,False,55,6573,97,0.1798,-0.0831625068913963,-0.08120062285405226,-0.01025650016718911,,-0.446,channel_growth_day=-0.02;channel_growth_short=-0.02;rank_climb=-0.16;viewer_growth_day=-0.08;viewer_growth_short=-0.17,
2026-09-09T16,263490,Rust,True,8,68873,100,0.2942,-0.16222196208467993,-0.0989952886812867,0.010050335853501506,,-0.53,channel_growth_day=+0.00;channel_growth_short=+0.02;rank_climb=-0.04;steam_growth=-0.08;viewer_growth_day=-0.10;viewer_growth_short=-0.32,252490
2026-09-09T16,464339927,ARC Raiders,True,47,6757,100,0.2236,0.39303710684047416,-0.6830325621261789,0.0,,-0.554,channel_growth_day=+0.02;channel_growth_short=+0.00;rank_climb=-0.60;steam_growth=-0.07;viewer_growth_day=-0.68;viewer_growth_short=+0.79,1808500
2026-09-09T16,921298138,BOMBANANA!,True,62,4446,78,0.2267,0.36512906160103575,-1.3585282605197815,0.5955087109960292,BREADTH,-0.603,breadth_bonus=+0.50;channel_growth_day=-0.09;channel_growth_short=+0.89;rank_climb=-1.28;steam_growth=+0.00;viewer_growth_day=-1.36;viewer_growth_short=+0.73,4656000
2026-09-09T16,1282866981,Delta Force,True,60,5474,100,0.1812,0.16594200520916347,-0.4497738921175955,0.0,,-0.802,channel_growth_day=+0.00;channel_growth_short=+0.00;rank_climb=-0.68;steam_growth=-0.00;viewer_growth_day=-0.45;viewer_growth_short=+0.33,2507950
2026-09-09T16,498592,I'm Only Sleeping,True,91,3168,100,0.173,-0.7831921460081739,-0.25226094988493697,0.02020270731751947,,-2.181,channel_growth_day=+0.01;channel_growth_short=+0.03;rank_climb=-0.40;viewer_growth_day=-0.25;viewer_growth_short=-1.57,
2026-09-09T16,31339,Project Zomboid,True,51,7091,100,0.0963,-0.5837200549125553,-0.40523004076028707,0.0,,-2.2,channel_growth_day=+0.02;channel_growth_short=+0.00;rank_climb=-0.52;steam_growth=-0.13;viewer_growth_day=-0.41;viewer_growth_short=-1.17,108600
2026-09-09T16,460630,Rainbow Six Siege,True,50,6308,98,0.2413,-0.15070240054834239,-1.0290304223065088,0.0,,-2.346,channel_growth_day=-0.01;channel_growth_short=+0.00;rank_climb=-0.92;steam_growth=-0.09;viewer_growth_day=-1.03;viewer_growth_short=-0.30,359550
2026-09-09T16,1441208453,Once Human,True,95,1773,99,0.0671,-0.6087473727633536,-0.8277707571322394,-0.01005033585350145,,-3.119,channel_growth_day=-0.01;channel_growth_short=-0.02;rank_climb=-0.96;steam_growth=-0.09;viewer_growth_day=-0.83;viewer_growth_short=-1.22,2139460
