snapshot_hour_utc,game_id,position,user_login,viewer_count,language,started_at
2026-09-01T05,19619,1,antedeguemonn,377,pt,2026-08-31T13:22:44Z
2026-09-01T05,19619,2,hardparadox,298,pt,2026-08-31T16:19:48Z
2026-09-01T05,19619,3,saegusinha,190,pt,2026-08-31T08:38:45Z
2026-09-01T05,66082,1,jankyrondo,770,en,2026-08-31T22:32:58Z
2026-09-01T05,66082,2,jall,380,en,2026-09-01T01:46:34Z
2026-09-01T05,66082,3,heyyvance,333,en,2026-09-01T04:14:21Z
2026-09-01T05,493057,1,chrismelberger,706,en,2026-08-31T21:34:44Z
2026-09-01T05,493057,2,julien,650,en,2026-08-31T23:36:21Z
2026-09-01T05,493057,3,whatifjulia,626,en,2026-08-31T23:24:09Z
2026-09-01T05,460951,1,doggie,3105,en,2026-09-01T02:39:18Z
2026-09-01T05,460951,2,aceahbase,224,en,2026-09-01T03:08:49Z
2026-09-01T05,460951,3,churbisgd,52,en,2026-09-01T00:39:44Z
2026-09-01T05,13332,1,arex,729,en,2026-09-01T00:58:50Z
2026-09-01T05,13332,2,bluekandy,576,en,2026-09-01T00:54:41Z
2026-09-01T05,13332,3,twitchplayspokemon,406,en,2026-08-31T19:35:06Z
2026-09-01T05,1702520304,1,datmodz,1343,en,2026-08-31T22:21:39Z
2026-09-01T05,1702520304,2,cutedog_,894,en,2026-09-01T02:02:52Z
2026-09-01T05,1702520304,3,carn_,355,en,2026-09-01T00:28:25Z
2026-09-01T05,460630,1,skyte,191,en,2026-09-01T02:44:33Z
2026-09-01T05,460630,2,ryonravoli,152,en,2026-09-01T02:26:37Z
2026-09-01T05,460630,3,elobum,126,en,2026-09-01T02:21:22Z
2026-09-01T05,670138298,1,dubdot,1035,other,2026-08-31T23:59:51Z
2026-09-01T05,670138298,2,vohes13,313,en,2026-09-01T01:08:02Z
2026-09-01T05,670138298,3,problemwright,267,en,2026-08-31T22:31:33Z
2026-09-01T05,27546,1,german_intelligence,1416,en,2026-08-31T21:17:22Z
